,Name,Location,Magnitude,URL
1059,"M 3.3 - 90 km NNW of San Antonio, Puerto Rico","90 km NNW of San Antonio, Puerto Rico",3.27,https://earthquake.usgs.gov/earthquakes/eventpage/pr71470163
319,"M 3.3 - 22 km SSW of Charlotte Amalie, U.S. Virgin Islands","22 km SSW of Charlotte Amalie, U.S. Virgin Islands",3.26,https://earthquake.usgs.gov/earthquakes/eventpage/pr71470368
298,"M 3.2 - 2 km NE of Almanor, CA","2 km NE of Almanor, CA",3.23,https://earthquake.usgs.gov/earthquakes/eventpage/nc75114406
279,"M 3.2 - 5 km ESE of Beluga, Alaska","5 km ESE of Beluga, Alaska",3.2,https://earthquake.usgs.gov/earthquakes/eventpage/ak025dec01v
828,"M 3.2 - 42 km WNW of Skwentna, Alaska","42 km WNW of Skwentna, Alaska",3.2,https://earthquake.usgs.gov/earthquakes/eventpage/ak0259zsd3f
848,"M 3.2 - 62 km NNE of Punta Cana, Dominican Republic","62 km NNE of Punta Cana, Dominican Republic",3.17,https://earthquake.usgs.gov/earthquakes/eventpage/pr71470243
1458,"M 3.2 - 49 km W of Petrolia, CA","49 km W of Petrolia, CA",3.15,https://earthquake.usgs.gov/earthquakes/eventpage/nc75112496
777,"M 3.1 - 74 km WNW of Petrolia, CA","74 km WNW of Petrolia, CA",3.13,https://earthquake.usgs.gov/earthquakes/eventpage/nc75113516
106,"M 3.1 - 234 km SE of Chiniak, Alaska","234 km SE of Chiniak, Alaska",3.1,https://earthquake.usgs.gov/earthquakes/eventpage/ak025eyzrbs
735,"M 3.1 - 1 km ESE of El Centro, CA","1 km ESE of El Centro, CA",3.1,https://earthquake.usgs.gov/earthquakes/eventpage/ci40834559
256,"M 3.1 - 75 km N of Brenas, Puerto Rico","75 km N of Brenas, Puerto Rico",3.09,https://earthquake.usgs.gov/earthquakes/eventpage/pr71470428
741,"M 3.1 - 45 km N of Hatillo, Puerto Rico","45 km N of Hatillo, Puerto Rico",3.07,https://earthquake.usgs.gov/earthquakes/eventpage/pr71470273
1410,"M 3.1 - 36 km N of Hatillo, Puerto Rico","36 km N of Hatillo, Puerto Rico",3.05,https://earthquake.usgs.gov/earthquakes/eventpage/pr71470078
381,"M 3.0 - 2 km NW of Little America, Wyoming","2 km NW of Little America, Wyoming",3.04,https://earthquake.usgs.gov/earthquakes/eventpage/uu80099346
429,"M 3.0 - 10 km S of Waikoloa, Hawaii","10 km S of Waikoloa, Hawaii",3.04,https://earthquake.usgs.gov/earthquakes/eventpage/hv74586587
761,"M 3.0 - 73 km N of Culebra, Puerto Rico","73 km N of Culebra, Puerto Rico",3.02,https://earthquake.usgs.gov/earthquakes/eventpage/pr71470253
109,"M 3.0 - 0 km E of Aromas, CA","0 km E of Aromas, CA",3.0,https://earthquake.usgs.gov/earthquakes/eventpage/nc75114761
